rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B0DB88MVYC,"HIQILI Tea Tree Oil, for Skin, Hair, Nails, Diffuser | Can be added shampoo, shower gel and spray – 118mL / 4 fl.oz",4.5,235,15958.0,KRW,"KRW 15,958",,https://www.amazon.com/-/en/HIQILI-Tree-Skin-Nails-Diffuser/dp/B0DB88MVYC/ref=zg_bs_g_6397798031_d_sccl_1/525-1944010-7860619
2,B0009OAI40,Elizabeth Arden Green Tea Eau de Toilette for Women 100 ml | Refreshing women's cologne with green tea and bergamot brings a,4.5,13652,19073.0,KRW,"KRW 19,073",,https://www.amazon.com/-/en/Elizabeth-Arden-Green-Toilette-Women/dp/B0009OAI40/ref=zg_bs_g_6397798031_d_sccl_2/525-1944010-7860619
3,B0CB8V2LP4,"DKNY Be Delicious 100% Pure New York, Fruity Floral Mist, 250ml",4.3,2074,9537.0,KRW,"KRW 9,537",,https://www.amazon.com/-/en/DKNY-Delicious-Fruity-Floral-250ml/dp/B0CB8V2LP4/ref=zg_bs_g_6397798031_d_sccl_3/525-1944010-7860619
4,B000P275F6,Nautical Fragrance Set for Men - 50ml,4.4,3483,17572.0,KRW,"KRW 17,572",,https://www.amazon.com/-/en/Nautical-Fragrance-Set-Men-50ml/dp/B000P275F6/ref=zg_bs_g_6397798031_d_sccl_4/525-1944010-7860619
5,B000P20R8I,"Britney Spears Fantasy 100 ml, Eau de Parfum for Women | Juicy Red Lychee Notes, Cupcake Chord and Creamy Musk, Pink Glass Ja",4.6,20375,27076.0,KRW,"KRW 27,076",,https://www.amazon.com/-/en/Britney-Spears-Fantasy-Parfum-Women/dp/B000P20R8I/ref=zg_bs_g_6397798031_d_sccl_5/525-1944010-7860619
6,B0H4GR8S59,Nenuco Classic Eau De Toilette Original Fragrance 650 ml (Pack of 3),4.6,865,8626.0,KRW,"KRW 8,626",,https://www.amazon.com/-/en/Nenuco-Classic-Toilette-Original-Fragrance/dp/B0H4GR8S59/ref=zg_bs_g_6397798031_d_sccl_6/525-1944010-7860619
7,B0C7ZR2XQ4,"AESHORY Essential Oils for Humidifier TOP 6 x 10ML, Natural Aromatic Oil, Set of Essential Oils Aromatherapy for Diffuser, SP",4.1,6311,12524.0,KRW,"KRW 12,524",,https://www.amazon.com/-/en/Essential-Oils-Humidifier-Aromatic-Aromatherapy/dp/B0C7ZR2XQ4/ref=zg_bs_g_6397798031_d_sccl_7/525-1944010-7860619
8,B07VQTL4HL,Lavender True BIO (Lavandula officinalis) - 10 mL - Chemotyping and AB Certified Essential Oil - Relaxation & Rest - Aroma La,4.4,1800,8211.0,KRW,"KRW 8,211",,https://www.amazon.com/-/en/Lavender-True-BIO-Lavandula-officinalis/dp/B07VQTL4HL/ref=zg_bs_g_6397798031_d_sccl_8/525-1944010-7860619
9,B00HAOP8UQ,CALVIN KLEIN CK ONE Eau de Toilette,4.6,34148,34983.0,KRW,"KRW 34,983",,https://www.amazon.com/-/en/Calvin-Klein-Eau-Toilette-Men/dp/B00HAOP8UQ/ref=zg_bs_g_6397798031_d_sccl_9/525-1944010-7860619
10,B0FK4VDXFL,"MAYJAM Eucalyptus Essential Oil for Diffuser 100ML | Eucalyptus Oil Humidifier, DIY, Home, Accessories",4.3,7809,15958.0,KRW,"KRW 15,958",,https://www.amazon.com/-/en/MAYJAM-Eucalyptus-Essential-Diffuser-100ML/dp/B0FK4VDXFL/ref=zg_bs_g_6397798031_d_sccl_10/525-1944010-7860619
11,B0035FTTYA,PRANAROM - Organic Lavender - Chemotyping Essential Oil - Sleep and Stress | Articulations et muscles Sommeil et détente Cosm,4.6,2198,10607.0,KRW,"KRW 10,607",,https://www.amazon.com/-/en/PRANAROM-Organic-Lavender-Chemotyping-Essential/dp/B0035FTTYA/ref=zg_bs_g_6397798031_d_sccl_11/525-1944010-7860619
12,B0FDQXGFZW,"Essential Oil Peppermint 100 ml, MUNUSNA Pure Natural Essential Oils for Humidifier Aroma Diffuser, Burner, Peppermint Oil fo",4.2,529,13131.0,KRW,"KRW 13,131",,https://www.amazon.com/-/en/Essential-Peppermint-MUNUSNA-Humidifier-Diffuser/dp/B0FDQXGFZW/ref=zg_bs_g_6397798031_d_sccl_12/525-1944010-7860619
13,B00XAFFABQ,NIVEA MEN Sensitive After Shave Balm (1 x 100 ml) for Sensitive Skin Care - Anti Irritation Balm with 0% Alcohol to Soothe Sk,4.7,1810,7588.0,KRW,"KRW 7,588",,https://www.amazon.com/-/en/NIVEA-MEN-Sensitive-After-Shave/dp/B00XAFFABQ/ref=zg_bs_g_6397798031_d_sccl_13/525-1944010-7860619
14,B00V88L9LC,"PARFUMS SAPHIR Perfect Man Eau de Parfum, Men, 200 ml",4.4,3723,34488.0,KRW,"KRW 34,488",,https://www.amazon.com/-/en/PARFUMS-SAPHIR-Perfect-Man-Parfum/dp/B00V88L9LC/ref=zg_bs_g_6397798031_d_sccl_14/525-1944010-7860619
15,B00M3IFUMK,Armaf Club De Nuit Men's EDT Intense Perfume 105 ml,4.3,74728,61501.0,KRW,"KRW 61,501",,https://www.amazon.com/-/en/Armaf-Club-Nuit-Intense-Perfume/dp/B00M3IFUMK/ref=zg_bs_g_6397798031_d_sccl_15/525-1944010-7860619
16,B08JHZVZ8N,"Pranarôm Wellness at Home Essential Oils Diffusion Bio 1 fl oz | Blend with vanilla, ylang-ylang and damask rose · Warm notes",4.4,164,40638.0,KRW,"KRW 40,638",,https://www.amazon.com/-/en/Pranar%C3%B4m-Wellness-Home-Essential-Diffusion/dp/B08JHZVZ8N/ref=zg_bs_g_6397798031_d_sccl_16/525-1944010-7860619
17,B07RG7FMWF,IAP Pharma Parfums nº 34 - Floral Eau de Parfum - Women - 150 ml,4.3,201,14201.0,KRW,"KRW 14,201",,https://www.amazon.com/-/en/IAP-Pharma-Parfums-n%C2%BA-34/dp/B07RG7FMWF/ref=zg_bs_g_6397798031_d_sccl_17/525-1944010-7860619
18,B0010MG8NU,"Elizabeth Arden - 5th Avenue, Eau de Parfum, Perfume Femenino en Spray, Elegante y Lujoso con Notas Florales de Magnolia Rosa",4.5,15867,28610.0,KRW,"KRW 28,610",,https://www.amazon.com/-/en/Elizabeth-Arden-Avenue-Parfum-Women/dp/B0010MG8NU/ref=zg_bs_g_6397798031_d_sccl_18/525-1944010-7860619
19,B001NYSS6U,PRANAROM Tea Tree Essential Oil 10ml – Natural Defenses HECT Puro | 100% pure and chemotyped HECT. Melaleuca alternifolia for,4.6,7243,14297.0,KRW,"KRW 14,297",,https://www.amazon.com/-/en/PRANAROM-Tea-Tree-Essential-10ml/dp/B001NYSS6U/ref=zg_bs_g_6397798031_d_sccl_19/525-1944010-7860619
20,B003WF3JPS,"Suavinex, Baby Cologne Clásica, Eau de Toilette for Babies, 100 ml | Low Alcohol, Does Not Stain Clothes, Dermatologically Te",4.6,2850,37060.0,KRW,"KRW 37,060",,https://www.amazon.com/-/en/Suavinex-Cologne-Cl%C3%A1sica-Toilette-Babies/dp/B003WF3JPS/ref=zg_bs_g_6397798031_d_sccl_20/525-1944010-7860619
21,B0C3B6F9Y3,"Migcaput Lavender Essential Oil 100ML, 100% Pure Natural Therapeutic Grade Aromatherapy Essential Oils for Skin Care, Anti Ac",4.3,5479,18466.0,KRW,"KRW 18,466",,https://www.amazon.com/-/en/Migcaput-Essential-Oil-Therapeutic-Aromatherapy/dp/B0C3B6F9Y3/ref=zg_bs_g_6397798031_d_sccl_21/525-1944010-7860619
